Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1961-01-01,8.60747050172326,3.97642912787215,0.00345899552320317,-6.88156571874811,,Parameter Point Estimates,,,,,,,,,,,,,,1961-01-01,1.4921471849375,1.52565422073334,0.343995719223703,,-5.51917050172326,,1961-01-01,7.38751328485973,3.42528709412754,-0.0239628466619367,-6.39300911106477
1961-04-01,8.88995722309673,4.10527498311424,0.00715507700856777,-6.30186715063837,,a_1,a_2,a_3,b_1,b_2,b_3,b_4,b_5,c,sigma_1,sigma_2,sigma_4,a_1 + a_2,,1961-04-01,1.53822435675452,1.52029584752965,0.341131399032578,,-5.80165722309673,,1961-04-01,7.38085804104082,3.42479114525992,-0.0295449794995332,-5.7704052993447
1961-07-01,8.60886504513566,3.97560909435068,0.00662788914461635,-5.23260881572594,,1.4455775684107,-0.497142005226039,-0.0690282368122523,0.553680624178731,0.381210182044256,0.0375314968727336,0.00229380051406196,0.0391957042439773,2.16375326442803,0.346252028885178,0.760846930857985,0.584413224238715,0.948435563184661,,1961-07-01,1.58997269702442,1.51519502295915,0.338378365438805,,-5.52056504513566,,1961-07-01,7.3714760166964,3.42372598052858,-0.0366222501793747,-4.81606891459887
1961-10-01,8.39386576599551,3.87816098405701,0.00248227676473603,-4.14743822806929,,T Statistics,,,,,,,,,,,,,,1961-10-01,1.63672789169258,1.5105162538631,0.335695087330161,,-5.3055657659955,,1961-10-01,7.36126785488608,3.42245361790922,-0.044077333218521,-3.80526218425405
1962-01-01,8.05107533009143,3.72029118001924,0.00128314470198451,-3.02552349212135,,10.7422468733069,3.7414227253283,3.93281241219579,11.4957840070035,6.80909428514573,1.97838117186122,2.39830203634297,4.54321347664579,4.42721105070312,3.14525490508842,26.8781010059305,9.00780926701968,,,1962-01-01,1.66853928952628,1.50641828683389,0.333033167021147,,-4.96277533009143,,1962-01-01,7.35230613192507,3.42122949698979,-0.0503903605440383,-2.93761751463524
1962-04-01,7.18142288999271,3.32493381779789,-0.0129135122746329,-2.20533321370192,,,,,,,,,,,,,,,,1962-04-01,1.69089336500623,1.50331426268878,0.330338737061866,,-4.09312288999271,,1962-04-01,7.34822199038643,3.42054431372188,-0.0529919345500166,-2.36713201054624
1962-07-01,6.93701312621177,3.21433145465631,-0.0180070517545145,-1.54733150193397,,,,,,,,,,,,,,,,1962-07-01,1.7101094494183,1.50164103613778,0.327591868355857,,-3.84871312621177,,1962-07-01,7.3522798181991,3.42146804364103,-0.0509328303653511,-1.90355040731356
1962-10-01,6.22705068949431,2.89751480971067,-0.042456438745705,-1.21749661353533,,Average Standard Errors,,,,,,,,,,,,,,1962-10-01,1.75609438431913,1.50118603807114,0.32478336956709,,-3.13875068949431,,1962-10-01,7.36371961938582,3.42339459286483,-0.0436616063507152,-1.65095347076647
1963-01-01,6.19398747222414,2.88131692866831,-0.0404714380336468,-0.775181692035517,,y*,r*,g,,,,,,,,,,,,1963-01-01,1.79067410406717,1.50218148329225,0.321941398574118,,-3.10568747222414,,1963-01-01,7.38372597489044,3.42728611350889,-0.0320755413432714,-1.27621340230985
1963-04-01,6.162257678538,2.86606951807066,-0.0392095972650517,-0.31361443867695,,2.40337530045742,1.6431582600137,0.267405368978913,,,,,,,,,,,,1963-04-01,1.82017006647162,1.50376983341858,0.319106788879712,,-3.073957678538,,1963-04-01,7.4067110330487,3.43170499246675,-0.0186518469551995,-0.809049133395661
